Year,SSB,CV.SSB,Recruitment,CV.Rec,Age.3.Biomass,CV
1964,546,27,6468,38,1833,22
1965,647,23,21430,25,2232,20
1966,752,22,15268,32,2391,20
1967,943,20,25849,26,3644,17
1968,1165,19,22300,28,4163,17
1969,1422,18,26329,26,5264,16
1970,1657,18,23656,27,5911,15
1971,1749,17,14531,33,6354,13
1972,1659,17,11900,34,6037,13
1973,1396,18,27415,19,4859,14
1974,1042,22,20439,19,3601,16
1975,891,20,17865,18,3730,13
1976,912,16,14179,17,3704,11
1977,963,13,15271,14,3692,9
1978,994,12,26979,10,3612,9
1979,990,11,63526,6,3588,8
1980,1133,9,26328,9,4534,7
1981,1816,6,32567,8,8387,5
1982,2704,6,17430,10,9535,5
1983,3336,5,50111,6,10802,5
1984,3601,5,13423,10,10632,5
1985,3876,5,32323,6,12622,4
1986,4076,4,12061,10,11821,4
1987,4146,4,6753,10,12180,3
1988,4055,3,5653,10,11267,3
1989,3572,3,11823,7,9389,3
1990,2826,3,50409,3,7445,3
1991,2091,4,26294,5,5862,3
1992,2237,3,22203,6,9352,3
1993,3163,3,45808,4,11689,3
1994,3518,3,15290,6,11424,3
1995,3709,3,10502,7,12960,3
1996,3719,3,22768,5,11318,3
1997,3544,3,30871,4,10091,3
1998,3223,3,15163,6,9746,3
1999,3242,3,16374,5,10675,3
2000,3254,3,25496,4,9815,3
2001,3270,3,34867,4,9546,3
2002,3073,3,23307,4,9858,3
2003,3221,3,14265,5,11772,2
2004,3310,3,6513,7,11070,2
2005,3034,3,4621,8,9253,3
2006,2488,3,11588,5,7090,3
2007,2064,3,24929,4,5733,3
2008,1540,4,13477,6,4675,3
2009,1624,4,49854,4,5832,3
2010,1859,4,21280,6,6160,3
2011,2226,4,13205,8,8648,3
2012,2552,4,11572,9,8576,3
2013,2819,4,53600,8,8430,4
2014,2683,5,50758,10,7777,5
2015,2755,6,13168,17,10961,6
2016,3518,7,8423,25,13837,7
2017,3954,8,14806,18,12320,8
2018,3538,10,17486,20,9912,9
2019,3220,11,18517,21,9327,10
