LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL
61.66567,-168.77762,U-18,70,2019,16-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,34,8.6,10.9,94,201902,65
61.3408,-168.76756,T-18,70,2019,16-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,32,10.6,10.7,94,201902,66
61.329,-168.11093,T-01,70,2019,17-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,27,11.2,11.3,94,201902,67
61.33932,-167.39129,T-02,70,2019,17-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,21,12.5,12.6,94,201902,68
61.65455,-167.39978,U-02,70,2019,17-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,22,11.6,11.8,94,201902,69
61.6592,-166.74304,U-03,70,2019,17-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,19,12.9,13.6,94,201902,70
61.34322,-166.67566,T-03,70,2019,18-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,11,13.5,13.8,94,201902,72
61.0111,-166.64916,S-03,70,2019,18-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,15,14,14.2,94,201902,73
60.67659,-166.6225,R-03,70,2019,18-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,17,13.4,13.9,94,201902,74
60.66506,-167.30258,R-02,70,2019,18-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,23,12.5,12.8,94,201902,75
60.99756,-168.01011,S-01,70,2019,19-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,27,11.9,11.9,94,201902,77
60.99762,-168.68906,S-18,70,2019,19-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,34,10.8,11.7,94,201902,78
60.6782,-168.01839,R-01,70,2019,19-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,27,12,12.2,94,201902,79
60.66753,-168.67325,R-18,70,2019,20-Aug-19,0,0,arrowtooth flounder,Atheresthes stomias,10110,34,10.6,11.3,94,201902,80
