Year,ATF_R0,ATF_LI,ATF_UI,POLL_R0,win.SST3
1960,310642,196204,477959,,
1961,302390,160279,492846,,
1962,276168,166860,457328,,
1963,303325,156783,545814,,
1964,231337,127801,368942,,
1965,235481,120676,373933,,5.572599328
1966,288790,152988,518535,,5.218048357
1967,221175,131995,389211,,5.448940671
1968,313256,135879,605418,,5.214611456
1969,295829,144137,469995,1253,5.472941901
1970,311761,173418,503492,3146,5.373145178
1971,401454,240524,575022,3614,5.303045903
1972,488175,298509,795508,10430,4.94479282
1973,511705,307630,789565,2176,4.83975284
1974,552712,248098,937660,2191,5.138718612
1975,558561,338364,901874,8538,5.141483245
1976,895317,568408,1280494,11488,5.455644091
1977,881344,503052,1281449,14008,5.43596084
1978,994076,657856,1431830,24828,5.690618842
1979,650340,440286,1028611,12674,5.654198358
1980,697317,383506,1006047,7061,5.856119441
1981,366799,238193,599960,7011,5.859211932
1982,693296,488442,1035713,4799,5.840502994
1983,730939,434887,1034340,5710,5.936922547
1984,926407,694274,1221543,14125,6.102324058
1985,1133766,674595,1626365,4117,6.016681764
1986,917912,582264,1440805,1713,6.167040696
1987,950881,561548,1448521,4790,6.122415875
1988,1124137,753671,1535681,11030,6.07665969
1989,1019085,647565,1439083,8272,5.679022648
1990,1195623,729320,1672207,3186,5.400912894
1991,864519,486672,1402200,2365,5.536857361
1992,783478,449489,1079173,1662,5.549610995
1993,680151,400327,1067019,1677,5.897757186
1994,777811,507407,1048782,6608,5.703064775
1995,734848,386716,1095366,3067,5.679497525
1996,870288,566751,1242948,1393,5.386168861
1997,1241681,764844,1673237,1338,5.784023979
1998,1262566,877532,1752069,1670,5.993993391
1999,1345239,995419,2011275,6218,5.955874393
2000,1316723,673299,2259398,6601,5.82094139
2001,1113208,643784,1778117,926,5.579991612
2002,908002,582720,1222524,713,6.117532631
2003,1024884,612789,1609592,668,6.075466225
2004,972052,620291,1373553,1699,6.2409659
2005,1000744,698248,1348334,5432,5.856108921
2006,668270,272126,984558,5149,5.621741771
2007,507661,264762,821623,6249,5.372325434
2008,415260,223397,656653,2747,5.095602729
2009,439503,233613,646050,1044,5.28241072
2010,702761,479555,914699,4600,5.472597521
2011,706533,517200,934894,663,5.456648869
2012,707326,351485,994702,36171,5.386569209
2013,572318,339266,865981,2089,5.485564922
2014,359287,162570,618616,35,6.222857276
2015,594991,328023,891745,4,6.652434545
2016,558910,159901,1401489,1944,6.83248073
2017,911074,148174,2823406,5340,6.52141904
2018,,,,9391,6.59810686
