Date,ALBSA
1/1/1948,-41.032
2/1/1948,78.172
3/1/1948,161.387
4/1/1948,291
5/1/1948,-87.29
6/1/1948,-14.2
7/1/1948,130.71
8/1/1948,178.839
9/1/1948,91.6
10/1/1948,-42.129
11/1/1948,19.2
12/1/1948,127.484
1/1/1949,179.807
2/1/1949,75.464
3/1/1949,59.194
4/1/1949,-30
5/1/1949,27.839
6/1/1949,41.667
7/1/1949,117.484
8/1/1949,145.032
9/1/1949,-58.3
10/1/1949,35.839
11/1/1949,-85.733
12/1/1949,104.419
1/1/1950,296.71
2/1/1950,-71.678
3/1/1950,-88.581
4/1/1950,-18.8
5/1/1950,-30
6/1/1950,101.5
7/1/1950,59.29
8/1/1950,104.355
9/1/1950,-8.433
10/1/1950,-4.936
11/1/1950,215.633
12/1/1950,-49.581
1/1/1951,62.903
2/1/1951,138
3/1/1951,-46.032
4/1/1951,-106.233
5/1/1951,-79.936
6/1/1951,-40.167
7/1/1951,156.839
8/1/1951,117.355
9/1/1951,-48.967
10/1/1951,44.871
11/1/1951,35.6
12/1/1951,240.807
1/1/1952,46.419
2/1/1952,-83.379
3/1/1952,-24.613
4/1/1952,8.7
5/1/1952,88.193
6/1/1952,-8.167
7/1/1952,102.29
8/1/1952,92.774
9/1/1952,-34.433
10/1/1952,2.065
11/1/1952,-70.267
12/1/1952,-182.548
1/1/1953,-184.807
2/1/1953,-103.179
3/1/1953,19.323
4/1/1953,-64.9
5/1/1953,-147.226
6/1/1953,120.9
7/1/1953,98.677
8/1/1953,168.161
9/1/1953,34.8
10/1/1953,-105.484
11/1/1953,-56.067
12/1/1953,-140.484
1/1/1954,88.032
2/1/1954,11.25
3/1/1954,197.323
4/1/1954,50.2
5/1/1954,-2.452
6/1/1954,-121.5
7/1/1954,147.065
8/1/1954,221.548
9/1/1954,138.6
10/1/1954,-188.452
11/1/1954,-73.667
12/1/1954,46.258
1/1/1955,-53.194
2/1/1955,157.893
3/1/1955,42.032
4/1/1955,75.1
5/1/1955,-121.871
6/1/1955,70.167
7/1/1955,135.484
8/1/1955,124.097
9/1/1955,97.067
10/1/1955,-33.548
11/1/1955,-16.533
12/1/1955,103.387
1/1/1956,59.097
2/1/1956,91.069
3/1/1956,-30.032
4/1/1956,32.233
5/1/1956,-58.516
6/1/1956,-17.9
7/1/1956,184.774
8/1/1956,43.71
9/1/1956,96.167
10/1/1956,106.258
11/1/1956,-24.5
12/1/1956,-94.161
1/1/1957,279.936
2/1/1957,23.5
3/1/1957,-49.613
4/1/1957,84.933
5/1/1957,-64.581
6/1/1957,-1.633
7/1/1957,98.226
8/1/1957,176.226
9/1/1957,-119.767
10/1/1957,57.71
11/1/1957,-112.233
12/1/1957,-10.419
1/1/1958,-195.839
2/1/1958,-232.607
3/1/1958,143.065
4/1/1958,26.867
5/1/1958,-12.355
6/1/1958,-43.333
7/1/1958,15.226
8/1/1958,22.064
9/1/1958,30.9
10/1/1958,47.613
11/1/1958,-7.467
12/1/1958,-176.355
1/1/1959,-67.29
2/1/1959,153
3/1/1959,-112.193
4/1/1959,47.367
5/1/1959,-27.29
6/1/1959,49.967
7/1/1959,94.032
8/1/1959,66.774
9/1/1959,-52.2
10/1/1959,-53.968
11/1/1959,-147.5
12/1/1959,4.968
1/1/1960,-15.193
2/1/1960,-30.448
3/1/1960,-38.129
4/1/1960,-80.8
5/1/1960,-83.097
6/1/1960,33.367
7/1/1960,68.581
8/1/1960,62.677
9/1/1960,38.367
10/1/1960,-64.968
11/1/1960,-95.233
12/1/1960,-73.193
1/1/1961,-207.871
2/1/1961,-104.893
3/1/1961,-186.903
4/1/1961,98.967
5/1/1961,9.548
6/1/1961,51.5
7/1/1961,164.226
8/1/1961,17.516
9/1/1961,136.1
10/1/1961,68.129
11/1/1961,119.933
12/1/1961,-109.064
1/1/1962,131.936
2/1/1962,134.214
3/1/1962,51.581
4/1/1962,20.233
5/1/1962,88.548
6/1/1962,143.333
7/1/1962,158.419
8/1/1962,155.065
9/1/1962,34.267
10/1/1962,-63.129
11/1/1962,-125.9
12/1/1962,-34.419
1/1/1963,-1.258
2/1/1963,-162
3/1/1963,218.194
4/1/1963,94
5/1/1963,94.484
6/1/1963,12.067
7/1/1963,197.774
8/1/1963,164
9/1/1963,-66.1
10/1/1963,-92.258
11/1/1963,-67.7
12/1/1963,-105.226
1/1/1964,-84.452
2/1/1964,-61.897
3/1/1964,52.129
4/1/1964,121.4
5/1/1964,155.097
6/1/1964,-23.4
7/1/1964,89.774
8/1/1964,56.484
9/1/1964,57.5
10/1/1964,36.645
11/1/1964,-35.6
12/1/1964,82.839
1/1/1965,-122.258
2/1/1965,-31.679
3/1/1965,58.484
4/1/1965,133.9
5/1/1965,50
6/1/1965,-76.733
7/1/1965,90.871
8/1/1965,178.548
9/1/1965,6.233
10/1/1965,0.516
11/1/1965,262.367
12/1/1965,112.355
1/1/1966,-39.032
2/1/1966,193.643
3/1/1966,-83.871
4/1/1966,-7.533
5/1/1966,75.323
6/1/1966,10.2
7/1/1966,127.581
8/1/1966,-24.548
9/1/1966,-7.033
10/1/1966,-68.71
