LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,CPUE_KGHA,CPUE_NOHA,COMMON_NAME,SCIENTIFIC_NAME,SPECIES_CODE,BOTTOM_DEPTH,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE,VESSEL,CRUISE,HAUL
62.31255,-175.27057,W-27,81,7/2/1905 00:00,8/4/2010 18:44,0.2579,6.032,Greenland turbot,Reinhardtius hippoglossoides,10115,78,-1.4,9.2,162,201002,1
63.33627,-173.43953,ZZ-24,81,7/2/1905 00:00,8/6/2010 10:43,0.0561,2.5896,Greenland turbot,Reinhardtius hippoglossoides,10115,70,-0.2,8.8,162,201002,8
62.32398,-174.53585,W-26,81,7/2/1905 00:00,8/5/2010 10:16,0.1865,2.7238,Greenland turbot,Reinhardtius hippoglossoides,10115,70,-1.4,9.1,162,201002,3
61.99455,-170.95498,V-21,70,7/2/1905 00:00,8/4/2010 10:13,0.0125,0.6676,Greenland turbot,Reinhardtius hippoglossoides,10115,49,-1,9.1,89,201002,25
62.34737,-169.5963,W-19,70,7/2/1905 00:00,8/1/2010 09:44,0.001,0.2449,Greenland turbot,Reinhardtius hippoglossoides,10115,37,-0.8,9.2,89,201002,10
61.65798,-171.53878,U-22,81,7/2/1905 00:00,8/3/2010 17:33,0.0046,0.2295,Greenland turbot,Reinhardtius hippoglossoides,10115,55,-1.2,8.9,89,201002,23
61.97613,-172.36885,V-23,81,7/2/1905 00:00,8/4/2010 15:22,0.0018,0.2269,Greenland turbot,Reinhardtius hippoglossoides,10115,56,-1.2,9,89,201002,27
62.32177,-172.40093,W-23,81,7/2/1905 00:00,8/4/2010 17:52,0.0103,0.8954,Greenland turbot,Reinhardtius hippoglossoides,10115,54,-1.2,8.8,89,201002,28
61.6815,-173.08012,U-24,81,7/2/1905 00:00,8/7/2010 15:27,0.0111,0.7182,Greenland turbot,Reinhardtius hippoglossoides,10115,65,-1.3,9.4,162,201002,15
61.34813,-172.91573,T-24,81,7/2/1905 00:00,8/7/2010 18:17,0.0383,1.2887,Greenland turbot,Reinhardtius hippoglossoides,10115,68,-1.4,9.8,162,201002,16
61.6752,-172.26853,U-23,81,7/2/1905 00:00,8/8/2010 07:46,0.0038,0.1911,Greenland turbot,Reinhardtius hippoglossoides,10115,60,-1.2,9.3,162,201002,17
61.33037,-172.12403,T-23,81,7/2/1905 00:00,8/8/2010 11:18,0.0032,0.1798,Greenland turbot,Reinhardtius hippoglossoides,10115,61,-1.3,9.2,162,201002,18
63.34127,-172.6869,ZZ-23,81,7/2/1905 00:00,8/6/2010 13:33,0.0025,0.2054,Greenland turbot,Reinhardtius hippoglossoides,10115,63,0.2,8.9,162,201002,9
62.6812,-173.17917,X-24,81,7/2/1905 00:00,8/7/2010 07:33,0.0066,0.3643,Greenland turbot,Reinhardtius hippoglossoides,10115,63,-1.6,9.1,162,201002,12
62.3416,-173.15248,W-24,81,7/2/1905 00:00,8/7/2010 10:15,0.0336,2,Greenland turbot,Reinhardtius hippoglossoides,10115,58,-1.5,9,162,201002,13
62.01412,-173.0444,V-24,81,7/2/1905 00:00,8/7/2010 12:48,0.0162,0.4276,Greenland turbot,Reinhardtius hippoglossoides,10115,58,-1.4,9.4,162,201002,14
62.65517,-174.63522,X-26,81,7/2/1905 00:00,8/5/2010 13:11,0.2011,3.372,Greenland turbot,Reinhardtius hippoglossoides,10115,73,-1.5,9,162,201002,4
62.32582,-173.81928,W-25,81,7/2/1905 00:00,8/5/2010 07:34,0.0566,2.1119,Greenland turbot,Reinhardtius hippoglossoides,10115,63,-1.5,8.8,162,201002,2
62.67933,-166.72703,X-03,70,7/2/1905 00:00,8/10/2010 08:22,9.7443,1.9105,Pacific halibut,Hippoglossus stenolepis,10120,26,6.8,9.8,94,201002,79
60.66808,-167.36012,R-02,70,7/2/1905 00:00,7/24/2010 07:09,14.8149,6.8629,Pacific halibut,Hippoglossus stenolepis,10120,24,5.8,5.9,94,201002,2
60.68555,-167.99962,R-01,70,7/2/1905 00:00,7/23/2010 19:21,1.4039,0.9045,Pacific halibut,Hippoglossus stenolepis,10120,28,4.7,4.8,94,201002,1
60.6716,-166.69558,R-03,70,7/2/1905 00:00,8/8/2010 17:58,20.4484,3.3967,Pacific halibut,Hippoglossus stenolepis,10120,21,8.9,8.5,89,201002,45
61.64993,-168.09252,U-01,70,7/2/1905 00:00,7/25/2010 12:42,0.4477,0.2355,Pacific halibut,Hippoglossus stenolepis,10120,29,0.9,7.9,94,201002,8
61.65333,-167.4031,U-02,70,7/2/1905 00:00,7/25/2010 09:44,8.5014,3.2632,Pacific halibut,Hippoglossus stenolepis,10120,24,4.8,7.5,94,201002,7
61.31947,-167.37382,T-02,70,7/2/1905 00:00,7/25/2010 07:08,3.5968,0.9394,Pacific halibut,Hippoglossus stenolepis,10120,25,5.2,7.3,94,201002,6
60.655,-168.6925,R-18,70,7/2/1905 00:00,7/30/2010 14:25,1.7331,0.5102,Pacific halibut,Hippoglossus stenolepis,10120,38,0.3,7.6,89,201002,1
61.99648,-171.6442,V-22,70,7/2/1905 00:00,8/4/2010 12:42,0.1807,0.2253,Pacific halibut,Hippoglossus stenolepis,10120,52,-1.2,8.8,89,201002,26
61.99455,-170.95498,V-21,70,7/2/1905 00:00,8/4/2010 10:13,0.1665,0.2225,Pacific halibut,Hippoglossus stenolepis,10120,49,-1,9.1,89,201002,25
63.3081,-171.97583,ZZ-22,70,7/2/1905 00:00,8/5/2010 14:47,1.0287,0.4832,Pacific halibut,Hippoglossus stenolepis,10120,61,0.1,9.1,89,201002,32
62.998,-171.15408,Y-21,70,7/2/1905 00:00,8/6/2010 07:30,0.2881,0.2103,Pacific halibut,Hippoglossus stenolepis,10120,47,-0.9,8.7,89,201002,34
61.01755,-166.67373,S-03,70,7/2/1905 00:00,8/8/2010 15:18,3.1311,1.4292,Pacific halibut,Hippoglossus stenolepis,10120,19,10,10,89,201002,44
61.35608,-166.90597,T-03,70,7/2/1905 00:00,8/8/2010 10:59,10.1021,3.0593,Pacific halibut,Hippoglossus stenolepis,10120,20,9.2,8.9,89,201002,43
61.6588,-166.73952,U-03,70,7/2/1905 00:00,8/8/2010 07:33,3.1045,1.9632,Pacific halibut,Hippoglossus stenolepis,10120,20,9,8.9,89,201002,42
61.67145,-170.21017,U-20,70,7/2/1905 00:00,8/7/2010 12:39,0.3383,0.2003,Pacific halibut,Hippoglossus stenolepis,10120,46,-1.2,9.6,89,201002,41
62.01268,-170.25692,V-20,70,7/2/1905 00:00,8/7/2010 10:03,0.7385,0.1976,Pacific halibut,Hippoglossus stenolepis,10120,47,-1,9.5,89,201002,40
61.01843,-168.03232,S-01,70,7/2/1905 00:00,7/24/2010 12:56,25.4351,9.4535,Pacific halibut,Hippoglossus stenolepis,10120,29,5,5.8,94,201002,4
60.98938,-167.34417,S-02,70,7/2/1905 00:00,7/24/2010 10:00,11.295,3.0784,Pacific halibut,Hippoglossus stenolepis,10120,23,5.3,5.3,94,201002,3
64.3209,-165.28733,CC-05,71,7/2/1905 00:00,8/9/2010 09:57,1.9119,0.4545,Pacific halibut,Hippoglossus stenolepis,10120,24,7.1,11.5,94,201002,77
63.67842,-168.2923,AA-01,71,7/2/1905 00:00,7/28/2010 11:07,0.2396,0.2384,Pacific halibut,Hippoglossus stenolepis,10120,32,1.9,7,94,201002,20
62.34858,-166.7234,W-03,70,7/2/1905 00:00,8/10/2010 11:28,1.7671,0.8213,Pacific halibut,Hippoglossus stenolepis,10120,21,8.7,9.3,94,201002,81
62.02592,-166.6954,V-03,70,7/2/1905 00:00,8/10/2010 13:58,10.0916,1.5501,Pacific halibut,Hippoglossus stenolepis,10120,21,8.7,10,94,201002,82
61.33793,-170.77408,T-21,81,7/2/1905 00:00,8/3/2010 12:27,0.3023,0.2297,Pacific halibut,Hippoglossus stenolepis,10120,41,1,11.2,89,201002,21
61.33037,-172.12403,T-23,81,7/2/1905 00:00,8/8/2010 11:18,0.2909,0.3596,Pacific halibut,Hippoglossus stenolepis,10120,61,-1.3,9.2,162,201002,18
63.34127,-172.6869,ZZ-23,81,7/2/1905 00:00,8/6/2010 13:33,0.3904,0.2054,Pacific halibut,Hippoglossus stenolepis,10120,63,0.2,8.9,162,201002,9
62.98117,-173.23185,Y-24,81,7/2/1905 00:00,8/6/2010 07:26,0.2719,0.1351,Pacific halibut,Hippoglossus stenolepis,10120,68,-0.9,8.6,162,201002,7
63.67602,-172.71473,AA-23,81,7/2/1905 00:00,7/29/2010 18:14,0.2287,0.2124,Pacific halibut,Hippoglossus stenolepis,10120,55,0,9.3,94,201002,28
63.65072,-166.04002,AA-04,71,7/2/1905 00:00,8/6/2010 07:02,8.0834,0.7221,Pacific halibut,Hippoglossus stenolepis,10120,26,3,11.4,94,201002,60
63.98262,-166.02893,BB-04,71,7/2/1905 00:00,8/6/2010 09:38,1.9481,0.4643,Pacific halibut,Hippoglossus stenolepis,10120,24,2.1,11.9,94,201002,61
63.99078,-165.33017,BB-05,71,7/2/1905 00:00,8/6/2010 12:30,2.5935,0.238,Pacific halibut,Hippoglossus stenolepis,10120,18,8.1,12.2,94,201002,62
63.68882,-164.55802,AA-06,71,7/2/1905 00:00,8/6/2010 18:02,0.2725,0.221,Pacific halibut,Hippoglossus stenolepis,10120,11,12,13,94,201002,64
63.32395,-166.03523,ZZ-04,71,7/2/1905 00:00,8/5/2010 12:48,2.6875,0.4692,Pacific halibut,Hippoglossus stenolepis,10120,24,3,11.8,94,201002,57
63.3285,-165.3068,ZZ-05,71,7/2/1905 00:00,8/5/2010 15:44,0.6865,0.4188,Pacific halibut,Hippoglossus stenolepis,10120,15,7.5,12.9,94,201002,58
63.65108,-165.29893,AA-05,71,7/2/1905 00:00,8/5/2010 18:13,4.4967,0.9467,Pacific halibut,Hippoglossus stenolepis,10120,18,9.3,13.9,94,201002,59
63.00898,-166.7415,Y-03,70,7/2/1905 00:00,8/5/2010 07:08,3.5041,0.6684,Pacific halibut,Hippoglossus stenolepis,10120,28,4.2,10.7,94,201002,55
