LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL                                                                                                                                                                                                                                                                                                                                                                             
62.74098,-170.8993,NBS-18,70,2018,8/1/2018 14:38,0.1561,,skate egg case unid.,,401,44,1.4,10.2,94,201801,221
61.25117,-172.73427,NBS-8,81,2018,7/31/2018 14:34,3.3422,0.851,Alaska skate,Bathyraja parmifera,471,66,4.2,9.8,94,201801,217
61.25612,-171.77692,NBS-14,81,2018,7/31/2018 18:24,4.4857,1.0442,Alaska skate,Bathyraja parmifera,471,58,2.8,9.6,94,201801,218
61.7234,-170.75554,NBS-20,70,2018,8/1/2018 07:30,2.2116,0.413,Alaska skate,Bathyraja parmifera,471,49,3.6,10.5,94,201801,219
62.74098,-170.8993,NBS-18,70,2018,8/1/2018 14:38,8.261,2.0756,Alaska skate,Bathyraja parmifera,471,44,1.4,10.2,94,201801,221
62.77532,-169.72241,NBS-26,70,2018,8/2/2018 07:25,35.6363,7.3096,Alaska skate,Bathyraja parmifera,471,43,2.8,10.3,94,201801,223
62.26311,-169.66134,NBS-27,70,2018,8/2/2018 11:09,1.5493,0.4695,Alaska skate,Bathyraja parmifera,471,39,2.8,10.9,94,201801,224
61.76001,-169.59335,NBS-28,70,2018,8/2/2018 14:51,15.7106,4.5573,Alaska skate,Bathyraja parmifera,471,43,3.6,10.7,94,201801,225
61.25579,-169.50437,NBS-29,70,2018,8/2/2018 18:29,11.7689,3.6254,Alaska skate,Bathyraja parmifera,471,42,4.4,10.1,94,201801,226
61.25222,-170.65469,NBS-21,81,2018,8/3/2018 07:27,2.8301,0.6841,Alaska skate,Bathyraja parmifera,471,48,3.3,9.7,94,201801,227
60.76125,-170.58796,NBS-22,81,2018,8/3/2018 11:01,5.3981,1.3495,Alaska skate,Bathyraja parmifera,471,53,4.2,9.8,94,201801,228
62.24431,-175.21994,NBS-1,81,2018,8/1/2018 07:38,0.4419,0.6312,Alaska skate,Bathyraja parmifera,471,78,1.4,9.1,162,201801,196
62.2492,-174.01861,NBS-3,81,2018,8/1/2018 11:37,4.9671,1.4609,Alaska skate,Bathyraja parmifera,471,64,1.9,9.4,162,201801,197
62.73051,-174.07743,NBS-2,81,2018,8/1/2018 15:11,5.3282,2.0509,Alaska skate,Bathyraja parmifera,471,71,1.7,9.6,162,201801,198
62.73719,-173.0872,NBS-5,81,2018,8/1/2018 18:44,7.7652,2.2349,Alaska skate,Bathyraja parmifera,471,64,1.2,9.8,162,201801,199
62.26327,-172.91771,NBS-6,81,2018,8/2/2018 07:39,1.8021,1.0527,Alaska skate,Bathyraja parmifera,471,57,2,9.8,162,201801,200
61.76376,-172.8032,NBS-7,81,2018,8/2/2018 11:07,11.2288,3.0035,Alaska skate,Bathyraja parmifera,471,62,2.6,9.9,162,201801,201
61.7508,-171.84866,NBS-13,81,2018,8/2/2018 14:36,21.0808,5.245,Alaska skate,Bathyraja parmifera,471,56,2.6,10.3,162,201801,202
62.23029,-171.90859,NBS-12,70,2018,8/2/2018 18:19,7.5045,2.4394,Alaska skate,Bathyraja parmifera,471,47,2.7,10.2,162,201801,203
63.24582,-171.9725,NBS-10,70,2018,8/3/2018 11:39,7.236,1.2476,Alaska skate,Bathyraja parmifera,471,58,1,10,162,201801,206
62.81744,-171.99411,NBS-11,70,2018,8/3/2018 14:59,5.6868,1.8872,Alaska skate,Bathyraja parmifera,471,52,2.2,10.3,162,201801,207
63.24156,-173.11936,NBS-4,81,2018,8/4/2018 07:41,2.9005,1.0679,Alaska skate,Bathyraja parmifera,471,68,0.7,10.3,162,201801,208
63.73008,-166.59452,NBS-49,71,2018,8/9/2018 07:48,29.7277,3.6509,Alaska skate,Bathyraja parmifera,471,29,4.3,12.4,162,201801,213
64.24987,-166.59958,NBS-48,71,2018,8/9/2018 11:22,1.5933,0.2207,Alaska skate,Bathyraja parmifera,471,28,3.8,12.9,162,201801,214
63.75659,-172.29498,NBS-9,70,2018,8/11/2018 07:42,18.5147,2.4852,Alaska skate,Bathyraja parmifera,471,52,1,9.9,162,201801,220
63.75038,-168.83549,NBS-34,71,2018,8/11/2018 18:19,4.1393,0.5085,Alaska skate,Bathyraja parmifera,471,34,6.4,11,162,201801,223
63.77148,-167.66989,NBS-44,71,2018,8/12/2018 07:33,7.6852,1.1416,Alaska skate,Bathyraja parmifera,471,31,4.6,11.2,162,201801,224
63.25763,-167.61765,NBS-45,71,2018,8/12/2018 11:28,15.5333,2.5209,Alaska skate,Bathyraja parmifera,471,36,4.9,11.2,162,201801,225
63.24092,-168.54551,NBS-40,71,2018,8/12/2018 14:50,27.427,4.4452,Alaska skate,Bathyraja parmifera,471,32,3,9.8,162,201801,226
62.75991,-168.66339,NBS-36,70,2018,8/12/2018 17:59,5.7146,1.133,Alaska skate,Bathyraja parmifera,471,40,4.3,10,162,201801,227
62.76084,-167.58103,NBS-46,70,2018,8/13/2018 07:39,13.8867,2.5788,Alaska skate,Bathyraja parmifera,471,24,5.9,4.9,162,201801,228
62.26211,-167.54307,NBS-47,70,2018,8/13/2018 11:17,14.065,2.6086,Alaska skate,Bathyraja parmifera,471,25,7.1,11.2,162,201801,229
62.26547,-168.62546,NBS-35,70,2018,8/13/2018 15:35,26.1692,7.5205,Alaska skate,Bathyraja parmifera,471,33,4,10.8,162,201801,230
61.78443,-168.62122,NBS-37,70,2018,8/13/2018 19:04,8.8578,2.519,Alaska skate,Bathyraja parmifera,471,34,6.7,9.9,162,201801,231
60.76415,-169.48741,NBS-30,70,2018,8/14/2018 15:44,21.2308,9.6251,Alaska skate,Bathyraja parmifera,471,43,5.6,8.5,162,201801,234
61.7508,-171.84866,NBS-13,81,2018,8/2/2018 14:36,0.0176,0.2098,Alaska skate egg case,Bathyraja parmifera egg case,474,56,2.6,10.3,162,201801,202
63.25763,-167.61765,NBS-45,71,2018,8/12/2018 11:28,0.1024,0.6875,Alaska skate egg case,Bathyraja parmifera egg case,474,36,4.9,11.2,162,201801,225
