"","year","month","est.PDO","real.pdo"
"1",1900,"Jan",0.776092117810968,0.04
"2",1900,"Feb",0.330513213765339,1.32
"3",1900,"Mar",0.695067301892401,0.49
"4",1900,"Apr",1.72758212034067,0.35
"5",1900,"May",1.41646513879413,0.77
"6",1900,"Jun",0.969128833862342,0.65
"7",1900,"Jul",0.873899329892502,0.95
"8",1900,"Aug",1.12044561062859,0.14
"9",1900,"Sep",-0.167146568940812,-0.24
"10",1900,"Oct",0.243309822571037,0.23
"11",1900,"Nov",0.51114461368859,-0.44
"12",1900,"Dec",0.668167101335607,1.19
"13",1901,"Jan",1.03790084940762,0.79
"14",1901,"Feb",0.588559428831418,-0.12
"15",1901,"Mar",-0.37365652111734,0.35
"16",1901,"Apr",-0.497658198129834,0.61
"17",1901,"May",-0.87312888703643,-0.42
"18",1901,"Jun",-0.982690129950831,-0.05
"19",1901,"Jul",-1.33677940103937,-0.6
"20",1901,"Aug",-0.377758733391251,-1.2
"21",1901,"Sep",0.250927616001074,-0.33
"22",1901,"Oct",0.578755552417068,0.16
"23",1901,"Nov",-0.0210177984563106,-0.6
"24",1901,"Dec",0.430105821036607,-0.14
"25",1902,"Jan",1.0853529254801,0.82
"26",1902,"Feb",0.520956436157212,1.58
"27",1902,"Mar",0.587051763933664,0.48
"28",1902,"Apr",0.72807963574898,1.37
"29",1902,"May",1.13050086323901,1.09
"30",1902,"Jun",1.92625980432808,0.52
"31",1902,"Jul",2.720962286123,1.58
"32",1902,"Aug",1.50538902235081,1.57
"33",1902,"Sep",0.762361651454586,0.44
"34",1902,"Oct",0.967464420104111,0.7
"35",1902,"Nov",0.728244309325535,0.16
"36",1902,"Dec",0.689837822501647,-1.1
"37",1903,"Jan",0.154845246908155,0.86
"38",1903,"Feb",0.120410972507229,-0.24
"39",1903,"Mar",-0.0845068316349079,-0.22
"40",1903,"Apr",-0.920607198492647,-0.5
"41",1903,"May",-0.490933448131237,0.43
"42",1903,"Jun",-0.339542513632626,0.23
"43",1903,"Jul",0.956114518216055,0.4
"44",1903,"Aug",0.985946516272913,1.01
"45",1903,"Sep",0.556834756735494,-0.24
"46",1903,"Oct",0.656869474562667,0.18
