Year,FHSL.R.age0,SD
1964,455615,172553
1965,435985,162791
1966,422282,155861
1967,418335,153036
1968,427371,155281
1969,448528,161835
1970,470738,168065
1971,476659,167531
1972,476513,164846
1973,427138,156069
1974,501793,182230
1975,609171,213463
1976,621030,215005
1977,558901,202236
1978,804832,237951
1979,1065140,294830
1980,1223000,376223
1981,2262170,421507
1982,976982,294041
1983,702171,274589
1984,1352310,459656
1985,2121820,531982
1986,919482,423372
1987,2409590,412364
1988,579668,229915
1989,1063110,296951
1990,1202660,327278
1991,1032960,293068
1992,1003370,289105
1993,795886,270679
1994,771220,251876
1995,693230,235681
1996,1207050,281840
1997,1154200,293600
1998,1049860,260787
1999,751622,205868
2000,788530,213267
2001,1095690,250948
2002,1362720,261831
2003,1275090,217596
2004,333892,108694
2005,819649,162279
2006,737612,161073
2007,555717,138800
2008,766015,162817
2009,721013,160055
2010,489730,144452
2011,1828830,273697
2012,714452,239586
2013,1429300,369424
2014,1613410,489040
