Year,Mon,Ver,TotalArc,Okhotsk,Bering,Hudson,Baffin,Grnland,BarKara,ArctOcn,CanArch,StLawr
1978,11,v3.1,336840,-21776,-20070,403404,167902,52509,267058,-518748,7405,-32
1978,12,v3.1,338970,166030,-73655,167563,51086,186890,383425,-634986,-2294,35894
1979,1,v3.1,495669,591903,-240632,7058,-76701,278808,418604,-642075,-2305,25672
1979,2,v3.1,403948,458466,-143610,2658,-179837,265347,462213,-638119,-1663,4022
1979,3,v3.1,337923,477434,-106645,-97,-82086,136970,442196,-643980,-977,10221
1979,4,v3.1,168694,522625,-210329,3188,-119184,77624,466668,-639970,184,-4265
1979,5,v3.1,55199,139809,-71691,36069,-45264,47779,544273,-609499,8659,-5357
1979,6,v3.1,249915,2618,-6086,122752,59542,31454,457570,-481456,63898,-373
1979,7,v3.1,454088,0,-7,21610,103686,6108,321708,-75237,76225,0
1979,8,v3.1,532546,0,0,34113,29764,-615,66680,206740,195867,0
1979,9,v3.1,202039,0,-2,-15387,1091,-42324,-101507,167043,193128,0
1979,10,v3.1,-48383,-50,-968,43945,-9720,-48366,120464,-244974,91289,0
1979,11,v3.1,-187771,56450,-16144,122383,70773,-57338,178747,-546331,4531,-32
1979,12,v3.1,-62403,172358,32488,78657,37708,-52466,250229,-595632,-3903,-1046
1980,1,v3.1,-108668,249538,72952,2206,-64701,9718,234283,-631729,-3233,-4631
1980,2,v3.1,62653,321463,107097,1768,-144624,98599,239354,-638549,-2660,819
1980,3,v3.1,6279,333901,40820,3588,-97464,83933,193455,-632203,-1468,2154
1980,4,v3.1,140366,537091,39865,5204,-41762,29219,140999,-641879,-1442,-3962
1980,5,v3.1,-25038,307438,53458,6443,-15828,-4103,204819,-602663,7308,-5357
1980,6,v3.1,91908,53372,3258,79731,58735,4767,372551,-505571,25443,-373
1980,7,v3.1,381417,0,-7,63854,128439,47237,387547,-286709,41059,0
1980,8,v3.1,669069,0,0,20375,21611,76406,294262,169707,86712,0
1980,9,v3.1,908986,0,-2,-14201,-11210,84332,245254,466821,137993,0
1980,10,v3.1,421273,-50,-968,4766,17630,60135,228161,49208,62394,0
1980,11,v3.1,72981,-8238,-6321,67859,-6932,125336,373960,-476560,4719,-32
1980,12,v3.1,142224,-47407,79562,117936,-16032,170111,403047,-595271,-1312,-9364
1981,1,v3.1,-76750,-13260,85534,7629,-21685,181414,232784,-621863,-362,50059
1981,2,v3.1,-291150,135538,37160,-4332,-66129,102013,137431,-639573,423,-10753
1981,3,v3.1,-396713,201348,-17548,-8203,-215534,72022,292533,-654629,282,-122470
1981,4,v3.1,-249118,182059,-126355,6059,-82438,58472,364404,-650071,31,-48906
1981,5,v3.1,35622,-10908,-51963,54625,-17963,111604,499853,-591257,-406,-5357
1981,6,v3.1,188434,19020,-2506,137714,15219,139600,454560,-584191,9394,-373
1981,7,v3.1,317663,0,-7,120175,12348,160472,460507,-438013,2184,0
1981,8,v3.1,253908,0,0,-21707,-11705,128919,332545,-194154,20014,0
1981,9,v3.1,417315,0,-2,-644,-2237,42593,305655,50079,21872,0
1981,10,v3.1,140304,-50,-968,-12834,-57431,110881,208221,-99428,-8085,0
1981,11,v3.1,-361280,-21776,47180,-81779,6825,108702,14378,-435680,1715,-32
1981,12,v3.1,-84423,-19803,88465,-86091,4355,218382,285762,-606386,356,-9364
1982,1,v3.1,118297,130481,-36839,-570,-103206,274857,427263,-622196,-1587,-28677
1982,2,v3.1,96286,131924,-121374,1615,40807,210343,387473,-618619,-1026,-2554
1982,3,v3.1,51508,217951,-118458,4250,101563,117854,296216,-645584,1241,42316
1982,4,v3.1,250896,334437,-27199,9967,81938,122090,308171,-655595,2559,27253
1982,5,v3.1,176527,121560,63146,49821,145296,70811,281202,-603995,11265,3960
1982,6,v3.1,371094,32457,11159,136348,186060,72313,401506,-494467,26096,-373
1982,7,v3.1,529305,0,-7,98039,79014,113035,441786,-245816,43258,0
1982,8,v3.1,644768,0,0,13395,27022,64699,246381,205180,88093,0
