Year,Mon,Ver,TotalArc,Okhotsk,Bering,Hudson,Baffin,Grnland,BarKara,ArctOcn,CanArch,StLawr
1978,11,v3.1,10043111,0,35001,750802,677453,549750,1316957,5972819,740326,0
1978,12,v3.1,12092777,395525,198889,1205442,838329,780721,1709559,6098722,737378,45258
1979,1,v3.1,13674459,1218439,262106,1216827,968200,929960,1920087,6114589,735531,101842
1979,2,v3.1,14421928,1384651,467345,1222743,1027761,946765,2043999,6125711,734342,171007
1979,3,v3.1,14477073,1423324,543127,1218009,1149406,831926,2061652,6129090,734772,156470
1979,4,v3.1,13554283,1100233,334503,1210399,998984,761284,2089953,6137601,735512,44641
1979,5,v3.1,11937067,302656,140297,1156966,856158,664861,1963646,6090008,736380,0
1979,6,v3.1,10298509,33534,12157,942502,663405,556665,1521494,5841697,727051,0
1979,7,v3.1,8209823,0,0,307147,371481,367625,920644,5570645,672280,0
1979,8,v3.1,6265366,0,0,97225,90018,227805,322529,4906314,621472,0
1979,9,v3.1,5556549,0,0,5532,43937,197032,74858,4647895,587293,0
1979,10,v3.1,7235597,0,0,94042,129662,334981,618472,5366005,692433,0
1979,11,v3.1,9518500,78226,38927,469781,580324,439903,1228646,5945236,737452,0
1979,12,v3.1,11691404,401853,305032,1116536,824951,541365,1576363,6138076,735769,8318
1980,1,v3.1,13070122,876074,575690,1211975,980200,660870,1735766,6124935,734603,71539
1980,2,v3.1,14080633,1247648,718052,1221853,1062974,780017,1821140,6125281,733345,167804
1980,3,v3.1,14145429,1279791,690592,1221694,1134028,778889,1812911,6140867,734281,148403
1980,4,v3.1,13525955,1114699,584697,1212415,1076406,712879,1764284,6135692,733886,44944
1980,5,v3.1,11856830,470285,265446,1127340,885594,612979,1624192,6096844,735029,0
1980,6,v3.1,10140502,84288,21501,899481,662598,529978,1436475,5817582,688596,0
1980,7,v3.1,8137152,0,0,349391,396234,408754,986483,5359173,637114,0
1980,8,v3.1,6401889,0,0,83487,81865,304826,550111,4869281,512317,0
