"winter.year","arctic.slp.ndjfm"
1949,1013.09704307715
1950,1014.78231359099
1951,1016.31633610103
1952,1014.9756893322
1953,1014.06986956025
1954,1012.19622250378
1955,1013.53732973476
1956,1014.37748199298
1957,1014.7895476167
1958,1016.54574219382
1959,1013.93034995408
1960,1016.98423140189
1961,1014.05241811406
1962,1013.9719292261
1963,1013.93084063003
1964,1012.32497687616
1965,1015.5155192022
1966,1016.07513612689
1967,1010.11829304682
1968,1014.09514147543
1969,1016.31503620245
1970,1015.07306139519
1971,1013.5855170681
1972,1013.04034071217
1973,1012.10194971844
1974,1014.42522364826
1975,1012.19533077759
1976,1010.95778537417
1977,1016.17464002887
1978,1014.32927782448
1979,1016.12989310002
1980,1014.01926456759
1981,1014.92564777246
1982,1013.89716188268
1983,1013.02477047192
1984,1013.61257864883
1985,1015.29428057049
1986,1013.85678857655
1987,1014.71262423575
1988,1013.69998314011
1989,1008.61179250424
1990,1010.33414717108
1991,1012.24619289649
1992,1010.74107122194
1993,1012.37431296941
1994,1011.66145818448
1995,1012.50508683927
1996,1013.27067348143
1997,1013.00934504623
1998,1014.96684520708
1999,1014.90689227901
2000,1012.27117908513
2001,1015.21314150505
2002,1011.9264394869
2003,1012.41534381408
2004,1015.44020350109
2005,1012.96586713294
2006,1014.00036582687
2007,1011.99499366665
2008,1013.38356246596
2009,1013.88179233269
2010,1016.15973152374
2011,1012.72033368673
2012,1012.31452937754
2013,1015.70578332281
2014,1012.44201965384
2015,1012.2914034423
2016,1012.64649883791
2017,1011.06328246937
2018,1012.99785432812
2019,1013.38688372088
