LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL                                                                                                                                                                                                                                                                                                                                                                             
62.01951,-173.08485,V-24,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,1
61.68986,-173.09232,U-24,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,2
61.34522,-172.93641,T-24,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,3
61.33394,-172.30297,T-23,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,4
61.65069,-172.33413,U-23,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,5
61.69169,-171.55195,U-22,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,6
61.34953,-171.50395,T-22,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,7
61.32737,-170.84864,T-21,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,8
61.66214,-170.9131,U-21,81,2019,,0,0,fish egg unid.,,1    ,,,,94,,9
64.34148,-165.34574,CC-05,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,10
64.02649,-165.31826,BB-05,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,11
64.00193,-164.57754,BB-06,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,12
64.32562,-164.56143,CC-06,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,14
64.33999,-163.81224,CC-07,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,15
64.01394,-163.76942,BB-07,71,2019,,0.098,,fish egg unid.,,1    ,,,,94,,16
64.0021,-163.09207,BB-08,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,17
64.24656,-163.1549,CC-08,71,2019,,0.0408,,fish egg unid.,,1    ,,,,94,,19
64.33168,-162.30487,CC-09,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,20
64.32452,-161.58357,CC-10,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,21
64.0103,-161.52865,BB-10,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,22
63.99902,-162.28585,BB-09,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,23
63.66949,-163.02229,AA-08,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,25
63.6639,-163.78148,AA-07,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,26
63.67248,-164.54212,AA-06,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,28
63.66492,-165.27958,AA-05,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,29
63.3328,-165.27648,ZZ-05,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,30
63.33477,-166.00965,ZZ-04,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,31
63.34904,-166.76549,ZZ-03,71,2019,,0,0,fish egg unid.,,1    ,,,,94,,33
63.01326,-166.02851,Y-04,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,34
63.0176,-166.74338,Y-03,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,35
62.6729,-166.73227,X-03,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,37
62.3525,-166.74211,W-03,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,38
62.0176,-166.69015,V-03,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,40
61.97795,-167.41862,V-02,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,41
62.32335,-167.43727,W-02,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,42
62.65673,-167.44767,X-02,70,2019,,0,0,fish egg unid.,,1    ,,,,94,,43
