"","year","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep"
"",1948,NA,NA,0.196129032258065,0.156344086021505
"1949",1949,0.20129471143296,0.165328066710555,0.138064516129032,0.195268817204301
"1950",1950,0.140860215053763,0.228176431863068,0.215913978494624,0.266666666666667
"1951",1951,0.159326311169629,0.104772876892693,0.144301075268817,0.0913978494623656
"1952",1952,0.193315323904868,0.22493776153398,0.203440860215054,0.209032258064516
"1953",1953,0.188457318411235,0.131742374369102,0.210322580645161,0.156129032258065
"1954",1954,0.18898398068905,0.164274742154926,0.124516129032258,0.207956989247312
"1955",1955,0.195918367346939,0.102797893350889,0.23505376344086,0.164301075268817
"1956",1956,0.243535144869961,0.121987393400074,0.261505376344086,0.158064516129032
"1957",1957,0.13010752688172,0.184342769365811,0.176344086021505,0.129677419354839
"1958",1958,0.122865920561773,0.155058152293175,0.22752688172043,0.104731182795699
"1959",1959,0.163748079877112,0.147048496818082,0.288817204301075,0.118279569892473
"1960",1960,0.12276603633667,0.136940515917157,0.281720430107527,0.143010752688172
"1961",1961,0.184189159534782,0.149615975422427,0.163440860215054,0.182365591397849
"1962",1962,0.150109721307878,0.170945797673908,0.308602150537634,0.221505376344086
"1963",1963,0.173985077902129,0.139697169190257,0.22989247311828,0.143655913978495
"1964",1964,0.226834048413581,0.131039779649346,0.208817204301075,0.20258064516129
"1965",1965,0.184529295589203,0.126486723721747,0.15010752688172,0.19010752688172
"1966",1966,0.140004388852315,0.142933947772657,0.274838709677419,0.13741935483871
"1967",1967,0.159359227561993,0.218268597761685,0.183225806451613,0.137849462365591
"1968",1968,0.178844218443773,0.129964510832142,0.198279569892473,0.180860215053763
"1969",1969,0.127781435154707,0.192264647794602,0.202150537634409,0.151397849462366
"1970",1970,0.117390827298661,0.126826859776169,0.214838709677419,0.163225806451613
"1971",1971,0.17512617950406,0.1220320386219,0.242365591397849,0.150537634408602
"1972",1972,0.173139467132793,0.141363419672652,0.144516129032258,0.209247311827957
"1973",1973,0.227079218784288,0.16395655036208,0.209677419354839,0.169677419354839
"1974",1974,0.214461268378319,0.1504498573623,0.211612903225806,0.208172043010753
"1975",1975,0.19900153609831,0.128648233486943,0.22989247311828,0.123870967741935
"1976",1976,0.243995974363049,0.0894115154404365,0.189462365591398,0.247096774193548
"1977",1977,0.155244678516568,0.0719003730524468,0.236559139784946,0.149247311827957
"1978",1978,0.0976958525345622,0.208711871845512,0.183440860215054,0.221290322580645
"1979",1979,0.0884792626728111,0.252128593372833,0.0849462365591398,0.215698924731183
"1980",1980,0.165490756925685,0.116621643095503,0.175698924731183,0.17741935483871
