"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp:era1989M2013",-0.869353189076896,0.671371425349765,-2.21723203087233,-1.9572294502086,-1.71061904443518,-0.0449652964989831,0.204782681690422,0.458978892186188
"b_slp:era1989M20131",-0.921760350815662,0.559482639677016,-2.06544058682847,-1.83153787217543,-1.63173107957374,-0.203113912375615,0.023133408166373,0.207597077867418
"b_slp:era1989M20132",-0.808024922939405,0.543571730722558,-1.85767297998898,-1.65147808730631,-1.47969651293576,-0.0946829165756669,0.105119954116138,0.269278988864964
"b_slp:era1989M20133",-0.645654938969215,0.545192309614367,-1.71105568907506,-1.57139558948128,-1.34751220244121,0.0656875277298251,0.242928953512698,0.398671623274701
"b_slp:era1989M20134",-0.382157739563802,0.529309055702642,-1.43591299733709,-1.24475494248874,-1.05024850470839,0.311371667406273,0.479599286282595,0.644990226592794
"b_slp:era1989M20135",-0.221265210784248,0.534364170260421,-1.2536106354409,-1.10641303488201,-0.88419276157849,0.457233094672945,0.660553561142381,0.853607230421362
"b_slp:era1989M20136",0.00485230728336504,0.573626764818755,-1.08640141246664,-0.899570141106786,-0.717622813003373,0.722330629292909,0.972203030140234,1.16763686933394
"b_slp:era1989M20137",0.299608827376409,0.546440233603739,-0.742875011638199,-0.597487385188187,-0.387645447301865,0.996177100743413,1.17862696831707,1.34507705098535
"b_slp:era1989M20138",0.493093716020259,0.479029474198152,-0.440228498093765,-0.299045376076094,-0.104095438350699,1.11500977637956,1.29364028328954,1.4373621092751
"b_slp:era1989M20139",0.442987705128024,0.437774619000469,-0.401971704413079,-0.252216513432369,-0.108804730300201,1.01570111743176,1.20271492710002,1.30232208425465
"b_slp:era1989M201310",0.292243866273136,0.425426156724653,-0.535005401056044,-0.402875918042932,-0.248073371334196,0.818062172323245,0.997138493245555,1.11112271504864
"b_slp:era1989M201311",0.196560037447645,0.419345629066055,-0.632459653088378,-0.483164068801945,-0.313038205838365,0.74791743997404,0.904597590627286,1.04978399878958
"b_slp:era1989M201312",0.130954501335289,0.401304882421894,-0.68342705293178,-0.555097169084916,-0.365580663378576,0.636211708266741,0.809567558012726,0.923878085125217
"b_slp:era1989M201313",0.0957099120017449,0.389659193589088,-0.650481437408974,-0.54700722373857,-0.412384200136488,0.58320114176742,0.7415555652627,0.867515203248506
"b_slp:era1989M201314",0.0577973377698258,0.399384519886165,-0.745854583977459,-0.597260083279139,-0.452572264239403,0.572862894142491,0.703489646470789,0.816869881512172
"b_slp:era1989M201315",0.199260625662813,0.418941283168068,-0.66736947355253,-0.507810979570747,-0.336459452480037,0.74554892433357,0.87175152230755,0.984623822531046
"b_slp:era1989M201316",0.318008791574776,0.450543321009376,-0.578519710060371,-0.41891060205134,-0.261335070730391,0.897222793031589,1.04816387726807,1.18914957217293
"b_slp:era1989M201317",0.226584574184855,0.464084990064473,-0.658454134264824,-0.504755811004715,-0.357436124212434,0.81243289755556,0.978159286176186,1.12664463249535
"b_slp:era1989M201318",0.0563345978358271,0.48859195018156,-0.902879556758291,-0.747232509442505,-0.564933162669361,0.703476601553307,0.858438468096034,1.02806435687818
"b_slp:era1989M201319",-0.095855413343305,0.484060441183105,-1.05992941462038,-0.875941266646176,-0.729308542591074,0.527544193418039,0.715203084744257,0.849597500043372
"b_slp:era1989M201320",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M201321",-0.900183595042001,0.646124502326854,-2.22215270021162,-1.96715905883346,-1.71608656742736,-0.0690617079255509,0.142006569386997,0.355093666230601
"b_slp:era1989M201322",-0.900275645747847,0.614945749892005,-2.09981005420667,-1.90285698517871,-1.69084062538707,-0.111662317093623,0.0817297345590537,0.266234064866353
"b_slp:era1989M201323",-0.865108180581094,0.576605494367605,-2.00110429375066,-1.81335066448433,-1.59733195404234,-0.125293109842714,0.113009295701758,0.309683904039061
"b_slp:era1989M201324",-0.68211941836234,0.572996041651481,-1.85082855707426,-1.61167207037379,-1.39607583168468,0.032784045282382,0.241836349553488,0.427687023669793
"b_slp:era1989M201325",-0.440849580794724,0.557837061865622,-1.59117750469665,-1.3718974164304,-1.16083913052895,0.250224745911863,0.4411358901711,0.649473084692591
"b_slp:era1989M201326",-0.209038721723424,0.580389186992311,-1.35001619117328,-1.16623481643734,-0.929450073115044,0.526419005703506,0.732100241267265,0.914894223888782
"b_slp:era1989M201327",0.0518720885151992,0.633265096460722,-1.22848153974804,-0.98880898951442,-0.769658864714887,0.879503616091319,1.08107966757314,1.26256649498993
"b_slp:era1989M201328",0.391748444818724,0.557527321361978,-0.698248621750941,-0.549664775706684,-0.327522060078488,1.08574306934515,1.30588051514551,1.46819787651461
"b_slp:era1989M201329",0.523145316029438,0.493606822320408,-0.449369926116113,-0.308141008524004,-0.127504231991383,1.12821109084335,1.29335760016194,1.5101361834893
"b_slp:era1989M201330",0.491354791147496,0.473695666314262,-0.419091157801174,-0.319646608695061,-0.120793777354653,1.08625311837906,1.26300786800911,1.43004326370645
"b_slp:era1989M201331",0.34338265941893,0.410289229871639,-0.456941216904507,-0.319979332607781,-0.193845996445462,0.859934280054482,0.999627121145578,1.13915837429566
"b_slp:era1989M201332",0.233743509573371,0.412025203369493,-0.578081186137208,-0.453424699768123,-0.276477232691386,0.74803209799562,0.905759203418928,1.02166049367914
