"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp",0.515513439836971,0.489040524319995,-0.490550041020834,-0.310612952520376,-0.0772108045130759,1.13460277172857,1.32574857501968,1.46687410926785
"b_slp1",0.463467918119421,0.431739787795598,-0.409474786166531,-0.250914060282691,-0.0967426261600398,1.01451014846982,1.16918374603077,1.27866483438838
"b_slp2",0.255683444989759,0.398595148564077,-0.545713875673316,-0.409015228839372,-0.274315089109767,0.752853700814897,0.890406107813526,1.01462052186252
"b_slp3",0.0486876336918583,0.400366013303061,-0.719231181317719,-0.60050720691386,-0.466379911201386,0.554835208906245,0.713873809219934,0.833449499936155
"b_slp4",-0.171820923671573,0.38083082909077,-0.90959341069936,-0.777524107782291,-0.655064955189547,0.313529811453817,0.464363671233932,0.592532995788983
"b_slp5",-0.318369866869286,0.368306770433602,-1.06105760277383,-0.932879010532999,-0.773239943602092,0.141261580928538,0.276127588997175,0.420436615854467
"b_slp6",-0.380363865757677,0.384431285553583,-1.12306496478561,-0.990330069515382,-0.869071069312153,0.114964696522553,0.265036934183115,0.394500065480634
"b_slp7",-0.349939969459446,0.362405475645715,-1.08988179513243,-0.947297728513035,-0.808591704352882,0.111705068323658,0.268368398549166,0.376431076230016
"b_slp8",-0.333974133117088,0.335870357512551,-0.975388482576047,-0.886843966982399,-0.765962943797199,0.0904632674858777,0.230518048315598,0.333425948218765
"b_slp9",-0.179393990947968,0.316501540093867,-0.800952975245575,-0.696292339302531,-0.580826886499225,0.225023479979299,0.35750901646606,0.462817135454572
"b_slp10",0.0230525636759865,0.319283016204236,-0.616769831271801,-0.514069732194103,-0.393415373150078,0.440913614602571,0.549995325692169,0.650178053309685
"b_slp11",0.123022474247386,0.326602102527447,-0.511423278610209,-0.414138659763524,-0.306039984171392,0.541007230000716,0.648393443934604,0.758382538563035
"b_slp12",0.219644168359667,0.300935860567133,-0.374066604586722,-0.277012643403268,-0.160909611752222,0.59327708680804,0.723335641155116,0.819218890079779
"b_slp13",0.274843678507705,0.291434875365656,-0.304845592901386,-0.210268492746679,-0.0902027981586953,0.664150323663893,0.760355625440168,0.821252447395612
"b_slp14",0.273485802208511,0.300964350168926,-0.288918473918047,-0.209502483187353,-0.114124705173962,0.653476668641565,0.775607445479908,0.852830404053171
"b_slp15",0.14099739309574,0.311371362318551,-0.447617931650886,-0.360139375578291,-0.256287580715065,0.551480788378685,0.64585662728891,0.728329201590911
"b_slp16",0.0484092376865998,0.323601943262779,-0.574198965632433,-0.457360429169007,-0.351669330814029,0.467464919000601,0.585343930821749,0.708130111681256
"b_slp17",0.139010228347076,0.326477483656104,-0.493007295943645,-0.387914657829618,-0.286728019253916,0.552131940903605,0.685268735381211,0.766661607514451
"b_slp18",0.267932911545508,0.335413512980515,-0.384043059575886,-0.288524734947779,-0.178509136770762,0.67808484142258,0.811604864165972,0.926743290232369
"b_slp19",0.392441657862259,0.346306780847099,-0.303777252810977,-0.192739697428363,-0.0650939542635865,0.824068075840628,0.949519583117326,1.0827209349524
"b_slp20",0.499340904146896,0.342176341592357,-0.192587783124869,-0.0752396614730625,0.0611747623461032,0.931182163434012,1.04528750980893,1.14252932811865
"b_slp21",0.593925321399691,0.475207662273859,-0.348999513237655,-0.163663323280232,-0.00720886329811569,1.22059824110761,1.38555375250326,1.52292706137312
"b_slp22",0.504249275914325,0.461214673664117,-0.350099200612297,-0.226959806484814,-0.0775477911230519,1.10126067330436,1.26947537688908,1.42204733405186
"b_slp23",0.343117219629467,0.435729374099416,-0.524062643940638,-0.363965112001052,-0.21913742580223,0.907391141721529,1.07297091191243,1.23203155759233
"b_slp24",0.0798579110470218,0.40813984472196,-0.69871530747292,-0.578043214851224,-0.437835798069205,0.605932961893818,0.785818950422781,0.901946209531956
"b_slp25",-0.1279730210582,0.409964917131158,-0.909063964961181,-0.786928197437981,-0.65289221181707,0.394551933878198,0.557559381615967,0.686763973638958
"b_slp26",-0.311425643413468,0.400213667421617,-1.10240434589683,-0.954150442344978,-0.818863623798357,0.196048513333255,0.345223314532272,0.461629220164207
"b_slp27",-0.356132216051521,0.41381004557149,-1.18467152022276,-1.02584705810161,-0.874225236997796,0.167939956271417,0.329336946069002,0.461425790630023
"b_slp28",-0.360256567567594,0.368378456421005,-1.12011997905219,-0.965540385898328,-0.840243364889379,0.0975729594095443,0.241780916637379,0.34717741155292
"b_slp29",-0.314804942899292,0.342071400362218,-0.961044831939803,-0.877206928899452,-0.753724825704458,0.10546955251084,0.229935479156997,0.37739148357748
"b_slp30",-0.207386580732005,0.340874134012287,-0.868528142386793,-0.766170951314794,-0.643946969160844,0.219156527122124,0.350998848260446,0.467169421423497
"b_slp31",-0.0131114595502873,0.311012428102763,-0.63792693227564,-0.537826870439219,-0.413746490134611,0.379952944715685,0.477529765154211,0.556766415507024
"b_slp32",0.123144000934261,0.319259032601738,-0.505838449047122,-0.392888405678764,-0.271651030670977,0.527946229278604,0.640837253521535,0.736900566541213
"b_slp33",0.229989034185662,0.309978155715818,-0.395535402346704,-0.286685193164287,-0.183108865991,0.607654654918553,0.736451614858827,0.842167023040581
"b_slp34",0.274632525757732,0.29034769654086,-0.292810152039781,-0.19753185135541,-0.0963335266225888,0.649241451196655,0.747969081932256,0.852777827796572
"b_slp35",0.329341209396762,0.297980479963279,-0.283728296152215,-0.190396722721389,-0.05918881246113,0.704837072299589,0.804675518603543,0.897573235669728
"b_slp36",0.164366883421537,0.31276697390559,-0.421217183208897,-0.331967142874093,-0.22488696711072,0.569840573640048,0.676638892303054,0.776946478719761
"b_slp37",0.0612220086664379,0.328913766023589,-0.584532662056695,-0.474282514832921,-0.361906980090986,0.475258415921443,0.594337033084985,0.704544183656737
"b_slp38",0.164149928675731,0.334885069495392,-0.468833031166931,-0.360938228496124,-0.255587249817178,0.606671434084531,0.744926079890774,0.854164255182002
"b_slp39",0.267053249924168,0.342451947040619,-0.394538148015406,-0.288343774337061,-0.170365357129782,0.695228391760363,0.828575480939388,0.936597409153669
"b_slp40",0.423562957483838,0.318847343198691,-0.244841870865637,-0.121170455942659,0.02321596250698,0.830442898334444,0.925550559188626,1.02571266269458
"b_slp41",0.499340904146896,0.342176341592357,-0.192587783124869,-0.0752396614730625,0.0611747623461032,0.931182163434012,1.04528750980893,1.14252932811865
"b_slp42",0.616639445355102,0.513796177778315,-0.440755314274007,-0.27919797493905,-0.044451989939264,1.23166451788329,1.42482759224256,1.59500749461153
"b_slp43",0.515185886290086,0.490970509564681,-0.438039403142307,-0.261379803871076,-0.0868182688037653,1.12549317723359,1.32364844378023,1.52295106240192
"b_slp44",0.405744389582152,0.468936949781457,-0.542473658732095,-0.360448697426696,-0.202576827360106,1.00141758346994,1.1685433767196,1.30653202323244
"b_slp45",0.151696792382686,0.426775538256041,-0.668062163436091,-0.529707527019553,-0.40310682957357,0.688523599274734,0.845313858173893,1.0043812260113
